id,code,name,user_type_id,chart_template_id/id,reconcile
account_41010102,41010102,รายรับเงินอุดหนุน-งบประมาณแผ่นดิน,Income,nxpo_coa.chart,TRUE
account_41010201,41010201,รายได้เงินอุดหนุนจากภาคเอกชน,Income,nxpo_coa.chart,TRUE
account_41010301,41010301,รายได้เงินอุดหนุนการอบรม/จัดสัมมนา / พัฒนาบุคลากร จากในประเทศ,Income,nxpo_coa.chart,TRUE
account_41010401,41010401,รายได้เงินอุดหนุนการอบรม/จัดสัมมนา / พัฒนาบุคลากร จากต่างประเทศ,Income,nxpo_coa.chart,TRUE
account_41010601,41010601,รายได้เงินสนับสนุนอื่น,Income,nxpo_coa.chart,TRUE
account_41010701,41010701,รายได้เงินสนับสนุนการวิจัย บพท. (PMU A),Income,nxpo_coa.chart,TRUE
account_41010702,41010702,รายได้เงินสนับสนุนการวิจัย บพค. (PMU B),Income,nxpo_coa.chart,TRUE
account_41010703,41010703,รายได้เงินสนับสนุนการวิจัย บพข. (PMU C),Income,nxpo_coa.chart,TRUE
account_41010801,41010801,รายได้เงินสนับสนุนการวิจัย-เอกชนและหน่วยงานอื่น,Income,nxpo_coa.chart,TRUE
account_41010901,41010901,รายได้เงินอุดหนุนอื่น,Income,nxpo_coa.chart,TRUE
account_42010000,42010000,รายได้จากการขายและบริการ,Income,nxpo_coa.chart,FALSE
account_42010101,42010101,รายได้ค่าที่ปรึกษาและวิเคราะห์ระบบงาน,Income,nxpo_coa.chart,TRUE
account_42010201,42010201,รายได้ค่าบริการและเทคนิคและวิชาการ,Income,nxpo_coa.chart,TRUE
account_42010203,42010203,รายได้ค่าบริหารโครงการ,Income,nxpo_coa.chart,TRUE
account_42010301,42010301,รายได้จากการรับจ้าง/ร่วมวิจัย,Income,nxpo_coa.chart,TRUE
account_42011001,42011001,รายได้ค่าสมาชิก/ขายหนังสือ,Income,nxpo_coa.chart,TRUE
account_42090000,42090000,รายได้อื่น,Income,nxpo_coa.chart,FALSE
account_42090101,42090101,รายได้จากการจำหน่ายหนังสือและวารสาร/ค่าสมาชิก,Income,nxpo_coa.chart,TRUE
account_42090201,42090201,รายได้ค่าบริการถ่ายเอกสาร,Income,nxpo_coa.chart,TRUE
account_42090401,42090401,รายได้ค่าปรับ,Income,nxpo_coa.chart,TRUE
account_42090501,42090501,ส่วนลดรับ/ส่วนลดจ่าย,Income,nxpo_coa.chart,TRUE
account_42090901,42090901,รายได้อื่น,Other Income,nxpo_coa.chart,TRUE
account_42100000,42100000,ดอกเบี้ยรับและเงินปันผล,Income,nxpo_coa.chart,FALSE
account_42100101,42100101,ดอกเบี้ยรับ-เงินฝากสะสมทรัพย์,Income,nxpo_coa.chart,TRUE
account_42110101,42110101,เงินเหลือจ่ายรับคืน/ส่งคืน,Income,nxpo_coa.chart,TRUE
account_42120000,42120000,กำไร/ขาดทุน อัตราแลกเปลี่ยนเงินตราต่างประเทศ,Income,nxpo_coa.chart,FALSE
account_42120101,42120101,กำไร/ขาดทุน อัตราแลกเปลี่ยนเงินตรา ตปท,Income,nxpo_coa.chart,TRUE
account_42130000,42130000,กำไร/ขาดทุน จากการจำหน่ายครุภัณฑ์และอุปกรณ์,Income,nxpo_coa.chart,FALSE
account_42130101,42130101,กำไร/ขาดทุน จำหน่ายครุภัณฑ์และอุปกรณ์,Income,nxpo_coa.chart,TRUE
a_exp_cogs,5100,Cost of Revenue,Cost of Revenue,nxpo_coa.chart,FALSE
account_50000000,50000000,ค่าใช้จ่าย,Expenses,nxpo_coa.chart,FALSE
account_51000000,51000000,ค่าใช้จ่ายบุคลากร,Expenses,nxpo_coa.chart,FALSE
account_51010000,51010000,เงินเดือนและค่าจ้าง,Expenses,nxpo_coa.chart,FALSE
account_51010100,51010100,เงินเดือน,Expenses,nxpo_coa.chart,FALSE
account_51010101,51010101,เงินเดือน-พนักงาน,Expenses,nxpo_coa.chart,FALSE
account_51010200,51010200,ค่าล่วงเวลา,Expenses,nxpo_coa.chart,FALSE
account_51010201,51010201,ค่าล่วงเวลา-พนักงาน,Expenses,nxpo_coa.chart,FALSE
account_51010202,51010202,ค่าล่วงเวลา-ลูกจ้าง,Expenses,nxpo_coa.chart,FALSE
account_51010900,51010900,ค่าใช้จ่ายบุคลากรอื่น,Expenses,nxpo_coa.chart,FALSE
account_51010901,51010901,เงินเพิ่มพิเศษ,Expenses,nxpo_coa.chart,FALSE
account_51010902,51010902,เงินพิเศษค่าครองชีพ,Expenses,nxpo_coa.chart,FALSE
account_51010903,51010903,เงินประโยชน์ตอบแทน,Expenses,nxpo_coa.chart,FALSE
account_51020000,51020000,ค่าสวัสดิการ,Expenses,nxpo_coa.chart,FALSE
account_51020101,51020101,เงินสมทบกองทุนสำรองเลี้ยงชีพ,Expenses,nxpo_coa.chart,FALSE
account_51020103,51020103,เงินชดเชยพนักงาน,Expenses,nxpo_coa.chart,FALSE
account_51020201,51020201,เงินสวัสดิการ-ค่ารักษาพยาบาล,Expenses,nxpo_coa.chart,FALSE
account_51020202,51020202,ค่าเบี้ยประกันสุขภาพ,Expenses,nxpo_coa.chart,FALSE
account_51020203,51020203,ค่าเบี้ยประกันชีวิต,Expenses,nxpo_coa.chart,FALSE
account_51020301,51020301,เงินสวัสดิการ-ค่าเล่าเรียนบุตร,Expenses,nxpo_coa.chart,FALSE
account_51020401,51020401,เงินชดเชยช่วยเหลือพนักงาน,Expenses,nxpo_coa.chart,FALSE
account_51020501,51020501,กองทุนสวัสดิการ-เงินช่วยเหลือค่าทำศพ,Expenses,nxpo_coa.chart,FALSE
account_51020601,51020601,เงินสวัสดิการ-การกีฬา(เลือกได้อิสระ),Expenses,nxpo_coa.chart,FALSE
account_51020801,51020801,ค่าเครื่องแต่งกาย,Expenses,nxpo_coa.chart,FALSE
account_51030000,51030000,ค่าพัฒนาบุคลากร (ค่าเดินทาง สัมมนาและฝึกอบรม),Expenses,nxpo_coa.chart,FALSE
account_51030100,51030100,ค่าใช้จ่ายในการเดินทาง สัมมนาและฝึกอบรม ในประเทศ,Expenses,nxpo_coa.chart,FALSE
account_51030101,51030101,ตั๋วเครื่องบิน(พัฒนาบุคลากร-เดินทาง/อบรมใน ปท.),Expenses,nxpo_coa.chart,FALSE
account_51030102,51030102,ค่าพาหนะอื่น ๆ(พัฒนาบุคลากร-เดินทาง/อบรมใน ปท.),Expenses,nxpo_coa.chart,FALSE
account_51030103,51030103,ค่าเบี้ยเลี้ยง(พัฒนาบุคลากร-เดินทาง/อบรมใน ปท.),Expenses,nxpo_coa.chart,FALSE
account_51030104,51030104,ค่าลงทะเบียน(พัฒนาบุคลากร-เดินทาง/อบรมใน ปท.),Expenses,nxpo_coa.chart,FALSE
account_51030105,51030105,ค่าที่พัก(พัฒนาบุคลากร-เดินทาง/อบรมใน ปท.),Expenses,nxpo_coa.chart,FALSE
